AxIS Spike File,C:\Users\DEMO\Desktop\UCSC demo 07222024\121-6937\JLS_TS_6well-ctls-noto(001)(000).spk
File Type,6-well

Analysis Start,0.000000
Analysis End,297.000000
Active Electrode Criterion (spks/min), 5
Minimum Covered Resistance (kOhms),18
Remove Coincident Artifacts,False

Electrode Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,5.000000
    Max ISI (ms),100.000000

Network Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,50.000000
    Max ISI (ms),100.000000
    Min # of Electrodes (%),35.000000

Synchrony Settings,
    Synchrony Window,20.000000

Average Network Burst Analysis Settings,
    Number of network bursts vary by well
    Number of Spikes per Network Burst - Std, , , , , , 
    Mean ISI within Network Burst - Avg (sec), , , , , , 
    Mean ISI within Network Burst - Std (sec), , , , , , 
    Median ISI within Network Burst - Avg (sec), , , , , , 
    Median ISI within Network Burst - Std (sec), , , , , , 
    Median/Mean ISI within Network Burst - Avg, , , , , , 
    Median/Mean ISI within Network Burst - Std, , , , , , 
    Number of Elecs Participating in Burst - Avg, , , , , , 
    Number of Elecs Participating in Burst - Std, , , , , , 
    Number of Spikes per Network Burst per Channel - Avg, , , , , , 
    Number of Spikes per Network Burst per Channel - Std, , , , , , 
    Network Burst Percentage, , , , , , 
    Network IBI Coefficient of Variation, , , , , , 
    Network Normalized Duration IQR, , , , , , 
Synchrony Metrics
    Area Under Normalized Cross-Correlation,0.000285,0.000261,0.000732,0.000000,0.000000,0.000000
    Area Under Cross-Correlation,0.000007,0.000002,0.000119,0.000000,0.000000,0.000000
    Full Width at Half Height of Normalized Cross-Correlation,9.000000,12.000000,23.000000, , , 
    Full Width at Half Height of Cross-Correlation,8.000000,12.000000,51.000000, , , 
    Synchrony Index, , , , , , 
    Kreuz SPIKE Distance, , , , , , 
Average Network Burst Metrics
    Start Electrode, , , , , , 
    Percent Bursts with Start Electrode, , , , , , 
    Burst Peak (Max Spikes per sec), , , , , , 
    Time to Burst Peak (ms), , , , , , 
